shipment_id,invoice_date,exporter_entity,supplier_plant,plant_country,product_category,cn_code,cbam_covered,quantity_tonnes,unit_price_eur,invoice_value_eur,eu_importer,destination_country,reported_emissions_intensity_tco2e_per_t,emissions_data_quality,production_route,primary_energy_source,carbon_price_paid_eur_per_t
40001,2026-01-02,Bharat Metals & Materials Ltd,Deccan Steelworks - Raigad,India,Iron & Steel,7208,Yes,1849.1,703.38,1300619.96,Iberia Materiales SL,Spain,2.444,Estimated,BF-BOF,Coal,0.0
40005,2026-01-02,Bharat Metals & Materials Ltd,Emirates Global Metals - Jebel Ali,UAE,Aluminium,7601,Yes,92.8,2610.76,242278.53,Benelux Industrie NV,Netherlands,8.769,Verified,Primary-Smelter,Gas CCGT,0.0
40099,2026-01-03,Bharat Metals & Materials Ltd,Pune Precision Components,India,Machinery,8483,No,208.8,1933.6,403735.68,Nordic Infra AB,Sweden,,Not applicable,n/a,Grid,0.0
40013,2026-01-13,Bharat Metals & Materials Ltd,Arabian Nitrogen Co,Saudi Arabia,Fertilisers,3102,Yes,1822.5,402.97,734412.83,Benelux Industrie NV,Netherlands,1.741,Verified,SMR-Ammonia,Natural Gas,0.0
40012,2026-01-14,Bharat Metals & Materials Ltd,Ganga Fertilisers Ltd,India,Fertilisers,3102,Yes,2712.9,377.62,1024445.3,Rheinmetall Bauteile GmbH,Germany,1.887,Supplier-reported,SMR-Ammonia,Natural Gas,0.0
40015,2026-01-16,Bharat Metals & Materials Ltd,Nile Delta Steel Trading,Egypt,Iron & Steel,7208,Yes,506.9,692.86,351210.73,Lombardia Costruzioni SpA,Italy,,Missing,BF-BOF,Coal,0.0
40002,2026-01-17,Bharat Metals & Materials Ltd,Deccan Steelworks - Hazira EAF,India,Iron & Steel,7208,Yes,1699.1,740.09,1257486.92,Nordic Infra AB,Sweden,0.626,Verified,EAF-Scrap,Grid + Solar,4.2
40004,2026-01-19,Bharat Metals & Materials Ltd,Emirates Global Metals - Jebel Ali,UAE,Aluminium,7601,Yes,133.6,2685.57,358792.15,Gaulois Fabrication SAS,France,8.652,Verified,Primary-Smelter,Gas CCGT,0.0
40100,2026-01-20,Bharat Metals & Materials Ltd,Sharjah Polymer Industries,UAE,Plastics,3920,No,192.2,1099.72,211366.18,Gaulois Fabrication SAS,France,,Not applicable,n/a,Grid,0.0
40006,2026-01-21,Bharat Metals & Materials Ltd,Gulf Light Metals - Ras Al Khair,Saudi Arabia,Aluminium,7601,Yes,70.2,2351.12,165048.62,Rheinmetall Bauteile GmbH,Germany,9.348,Supplier-reported,Primary-Smelter,Gas CCGT,0.0
40011,2026-01-21,Bharat Metals & Materials Ltd,Qatar Binaa Cement,Qatar,Cement,2523,Yes,4230.1,85.48,361588.95,Nordic Infra AB,Sweden,0.585,Verified,Dry-Kiln,Gas,0.0
40009,2026-01-23,Bharat Metals & Materials Ltd,Saurashtra Cement Works,India,Cement,2523,Yes,1149.1,78.88,90641.01,Benelux Industrie NV,Netherlands,0.659,Supplier-reported,Dry-Kiln,Coal + AFR,0.0
40003,2026-01-25,Bharat Metals & Materials Ltd,Kalinga Alloys Ltd,India,Iron & Steel,7326,Yes,1654.7,762.21,1261228.89,Iberia Materiales SL,Spain,2.616,Supplier-reported,BF-BOF,Coal,0.0
40008,2026-01-26,Bharat Metals & Materials Ltd,Vindhya Aluminium,India,Aluminium,7604,Yes,737.2,2489.35,1835148.82,Benelux Industrie NV,Netherlands,20.339,Estimated,Primary-Smelter,Captive Coal,0.0
40010,2026-01-26,Bharat Metals & Materials Ltd,Saurashtra Cement Works,India,Cement,2523,Yes,2275.4,74.69,169949.63,Iberia Materiales SL,Spain,0.635,Supplier-reported,Dry-Kiln,Coal + AFR,0.0
